epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.484,1.82919,3.05736,0.00989,0.66419,0.42326,0.43619,0.33149,1.1127,3.08421,0.0132,0.000659574,0.000659574,0.000659574
2,630.498,1.78256,2.21689,0.00973,0.50357,0.39608,0.31958,0.22645,1.34657,2.71532,0.0172,0.00128248,0.00128248,0.00128248
3,950.976,1.82061,1.95036,0.01008,0.56232,0.40771,0.39196,0.26152,1.43313,2.61574,0.02008,0.00186138,0.00186138,0.00186138
4,1278.06,1.79746,1.82279,0.01034,0.58091,0.39959,0.41214,0.2856,1.53509,2.62342,0.02121,0.001802,0.001802,0.001802
5,1602.26,1.78659,1.73349,0.01,0.5263,0.40872,0.40159,0.28629,1.60505,2.64907,0.02226,0.001736,0.001736,0.001736
6,1931.44,1.76533,1.73657,0.00977,0.61115,0.40328,0.42777,0.30487,1.56502,2.61083,0.02207,0.00167,0.00167,0.00167
7,2271.42,1.77145,1.65013,0.00959,0.511,0.41176,0.36213,0.26702,1.5262,2.77052,0.01845,0.001604,0.001604,0.001604
8,2613.42,1.74888,1.62104,0.00959,0.56071,0.39554,0.34938,0.25683,1.54738,2.74673,0.01997,0.001538,0.001538,0.001538
9,2956.54,1.74271,1.60656,0.00947,0.49406,0.41582,0.38318,0.28548,1.53331,2.77781,0.01982,0.001472,0.001472,0.001472
10,3256.8,1.72502,1.57065,0.00944,0.41744,0.41075,0.24069,0.17167,1.49497,2.85132,0.0195,0.001406,0.001406,0.001406
11,3551.29,1.72332,1.5751,0.0092,0.49393,0.42292,0.39902,0.30121,1.5049,2.61664,0.01856,0.00134,0.00134,0.00134
12,3847.42,1.69533,1.52054,0.009,0.56098,0.38361,0.39363,0.29676,1.50993,2.87347,0.01911,0.001274,0.001274,0.001274
13,4138.94,1.68093,1.49625,0.00918,0.5326,0.40467,0.40342,0.31588,1.48568,2.74421,0.01739,0.001208,0.001208,0.001208
14,5941.36,1.69259,1.50834,0.0091,0.57689,0.37336,0.37113,0.28216,1.53695,2.79546,0.01944,0.001142,0.001142,0.001142
15,6249.73,1.68902,1.45391,0.0086,0.47294,0.39249,0.32332,0.23335,1.55317,2.95027,0.02077,0.001076,0.001076,0.001076
16,6542.9,1.66826,1.41894,0.00881,0.50681,0.41075,0.38264,0.29901,1.46539,2.72136,0.01763,0.00101,0.00101,0.00101
17,6847.68,1.67678,1.41748,0.00862,0.44477,0.44118,0.32964,0.25704,1.42481,2.73488,0.01648,0.000944,0.000944,0.000944
18,7173.81,1.66945,1.4395,0.00837,0.6218,0.38945,0.40887,0.31404,1.50593,2.82891,0.01874,0.000878,0.000878,0.000878
19,7583.06,1.62241,1.39835,0.00833,0.50868,0.40568,0.35595,0.28086,1.45401,2.81199,0.01705,0.000812,0.000812,0.000812
20,7986.82,1.6132,1.36064,0.00826,0.50149,0.41481,0.34685,0.26204,1.51111,2.77138,0.01851,0.000746,0.000746,0.000746
21,8296.75,1.65786,1.37521,0.00929,0.49077,0.38742,0.36358,0.28325,1.52032,2.76043,0.01894,0.00068,0.00068,0.00068
22,8608.82,1.63843,1.32854,0.00879,0.50261,0.39764,0.33299,0.25514,1.50239,2.83732,0.01834,0.000614,0.000614,0.000614
23,8921.32,1.64948,1.3176,0.00882,0.51942,0.36714,0.31054,0.24142,1.45219,2.90957,0.01694,0.000548,0.000548,0.000548
24,9244.62,1.61166,1.29058,0.00849,0.42741,0.45335,0.30444,0.23759,1.44655,2.94421,0.01663,0.000482,0.000482,0.000482
25,9547.71,1.60158,1.26455,0.00849,0.54233,0.37728,0.34066,0.26937,1.44051,2.92867,0.01661,0.000416,0.000416,0.000416
26,9834.47,1.60071,1.24387,0.00817,0.48225,0.40621,0.30582,0.23677,1.436,2.95275,0.01625,0.00035,0.00035,0.00035
27,10129.9,1.57719,1.2356,0.00799,0.46269,0.42799,0.351,0.27741,1.45224,2.97173,0.01715,0.000284,0.000284,0.000284
28,10413.9,1.57809,1.20139,0.00801,0.43656,0.43205,0.32685,0.25918,1.44203,2.96016,0.01648,0.000218,0.000218,0.000218
29,10706.1,1.57167,1.20093,0.00804,0.45156,0.42191,0.34163,0.27477,1.42011,2.93528,0.01585,0.000152,0.000152,0.000152
30,10999.9,1.57767,1.20838,0.00792,0.44089,0.42596,0.33937,0.27338,1.42135,2.95334,0.01568,8.6e-05,8.6e-05,8.6e-05
